Date,Rented Bike Count,Temperature,Humidity,Wind speed,Rainfall
01-12-17,254,-5.2,37,2.2,0
01-12-17,204,-5.5,38,0.8,0
01-12-17,173,-6,39,1,0
01-12-17,107,-6.2,40,0.9,0
01-12-17,78,-6,36,2.3,0
01-12-17,100,-6.4,37,1.5,0
01-12-17,181,-6.6,35,1.3,0
01-12-17,460,-7.4,38,0.9,0
01-12-17,930,-7.6,37,1.1,0
01-12-17,490,-6.5,27,0.5,0
01-12-17,339,-3.5,24,1.2,0
01-12-17,360,-0.5,21,1.3,0
01-12-17,449,1.7,23,1.4,0
01-12-17,451,2.4,25,1.6,0
01-12-17,447,3,26,2,0
01-12-17,463,2.1,36,3.2,0
01-12-17,484,1.2,54,4.2,0
01-12-17,555,0.8,58,1.6,0
01-12-17,862,0.6,66,1.4,0
01-12-17,600,0,77,1.7,0
01-12-17,426,-0.3,79,1.5,0
01-12-17,405,-0.8,81,0.8,0
01-12-17,398,-0.9,83,1.5,0
01-12-17,323,-1.3,84,1,0
02-12-17,328,-1.8,87,1.1,0
02-12-17,308,-2.2,86,0.6,0
02-12-17,262,-2.9,86,1.5,0
02-12-17,167,-3.5,81,2.2,0
02-12-17,89,-3.8,79,2,0
02-12-17,79,-4,79,1.5,0
02-12-17,70,-4.3,82,2.1,0
02-12-17,146,-4.4,81,2.5,0
02-12-17,219,-4.2,79,2.1,0
02-12-17,328,-2.9,68,1.6,0
02-12-17,334,-0.4,57,1.6,0
02-12-17,388,1.9,49,1.8,0
02-12-17,479,4.3,41,1.3,0
02-12-17,606,6,36,1.8,0
02-12-17,611,7.3,35,1.3,0
02-12-17,589,7.6,41,2.3,0
02-12-17,618,6.4,48,2.6,0
02-12-17,572,6,51,2.5,0
02-12-17,489,5.5,53,1.5,0
02-12-17,385,5,52,2.3,0
02-12-17,359,4.6,51,1.2,0
02-12-17,377,4.1,55,1.2,0
02-12-17,354,3.5,54,1.5,0
02-12-17,366,4,56,1,0
03-12-17,342,4,58,1.4,0
03-12-17,227,3.9,69,1.7,0
03-12-17,228,3.3,79,1.4,0
03-12-17,117,3.4,71,1.6,0.5
03-12-17,76,3.5,73,1,0
03-12-17,32,3.9,75,1.9,0
03-12-17,13,3.4,86,2.5,1
03-12-17,22,3.1,91,1.2,0
03-12-17,85,3.2,92,1.8,0
03-12-17,152,3.5,91,1.8,2.5
03-12-17,200,4.4,89,2.2,0
03-12-17,273,5.1,87,1.4,0
03-12-17,333,5.8,85,1.7,0
03-12-17,495,6.8,81,1.9,0
03-12-17,563,7.6,76,1.2,0
03-12-17,621,8,73,1.6,0
03-12-17,598,7.6,77,1.6,0
03-12-17,545,6.7,82,1.5,0
03-12-17,443,6,84,1.9,0
03-12-17,422,5.7,85,1.7,0
03-12-17,397,5.2,87,1.4,0
03-12-17,385,4.7,87,1.2,0
03-12-17,350,4.3,89,1.8,0
03-12-17,303,3.9,90,1.3,0
04-12-17,285,4.2,88,0.6,0
04-12-17,186,4.3,87,0.5,0
04-12-17,112,4.4,87,1.8,0
04-12-17,65,3.6,85,2.3,0
04-12-17,41,2.8,89,1.5,0
04-12-17,82,2,83,2.7,0
04-12-17,200,1.2,76,3.7,0.1
04-12-17,498,0.2,68,3.4,0
04-12-17,937,-0.8,69,3.5,0
04-12-17,509,-1.5,47,4.2,0
04-12-17,311,-1.1,40,4.5,0
04-12-17,379,-0.5,41,4.1,0
04-12-17,393,-0.3,38,4.8,0
04-12-17,391,0,30,5.4,0
04-12-17,338,0.1,27,4.5,0
04-12-17,341,-0.1,25,5.8,0
04-12-17,375,-0.2,23,4.7,0
04-12-17,515,-1.3,26,5.3,0
04-12-17,807,-2.1,29,3.9,0
04-12-17,568,-2.9,32,3.2,0
04-12-17,398,-3.6,38,3,0
04-12-17,397,-4.6,43,4.5,0
04-12-17,353,-5.3,45,2.5,0
04-12-17,248,-5.8,44,2.4,0
05-12-17,216,-6.1,42,2.6,0
05-12-17,198,-6.5,41,2.8,0
05-12-17,124,-6.8,41,2.5,0
05-12-17,62,-6.9,39,2,0
05-12-17,42,-7.2,34,3,0
05-12-17,82,-7.4,33,2.6,0
05-12-17,172,-7.4,34,3.2,0
05-12-17,381,-7.5,33,2.2,0
05-12-17,812,-8.1,36,1.6,0
05-12-17,462,-7.6,31,1.3,0
05-12-17,269,-5.5,26,2.8,0
05-12-17,334,-3.9,25,0,0
05-12-17,321,-2.3,25,0,0
05-12-17,325,-1.6,27,0,0
05-12-17,334,-1.1,28,0,0
05-12-17,353,-0.7,28,0,0
05-12-17,435,-0.5,30,0,0
05-12-17,529,-1.6,35,0,0
05-12-17,789,-2.6,40,0,0
05-12-17,597,-3.2,45,0,0
05-12-17,418,-3.5,46,0,0
05-12-17,415,-3.7,47,0,0
05-12-17,393,-2.8,49,0,0
05-12-17,244,-2.5,59,0,0
06-12-17,145,-2.8,77,0,0.1
06-12-17,144,-3,79,0,0
06-12-17,117,-3,79,0,0
06-12-17,78,-3.2,78,0,0.2
06-12-17,58,-3.4,75,0,0
06-12-17,87,-3.6,76,0,0
06-12-17,142,-3.7,76,0,0
06-12-17,379,-4.2,77,0,0
06-12-17,802,-4.2,78,0,0
06-12-17,440,-3.3,70,0,0
06-12-17,307,-0.9,64,0,0
06-12-17,381,1.6,57,1.2,0
06-12-17,405,2.4,52,0.9,0
06-12-17,442,4.2,47,1.1,0
06-12-17,416,5.5,34,1,0
06-12-17,412,5.5,31,3.1,0
06-12-17,496,5.3,37,2.9,0
06-12-17,239,4.1,60,2.5,0
06-12-17,204,1.7,90,1,0.3
06-12-17,205,1.2,92,0.7,0
06-12-17,190,1.2,94,0.6,0
06-12-17,165,1.1,92,0.5,0.7
06-12-17,222,1.3,92,0.6,0
06-12-17,193,1.3,92,0.6,0
07-12-17,198,1.4,92,0.5,0
07-12-17,218,1.5,92,0.4,0
07-12-17,149,1.4,92,0.7,0
07-12-17,102,1.9,91,1.4,0
07-12-17,62,1.6,92,0.7,0
07-12-17,83,1.5,92,1.1,0
07-12-17,137,1,93,0.5,0
07-12-17,367,0.3,93,0.5,0
07-12-17,754,-0.2,96,0.8,0
07-12-17,415,0.1,91,0.8,0
07-12-17,321,1.1,83,0.7,0
07-12-17,333,2.3,69,1.7,0
07-12-17,431,3.7,65,2.4,0
07-12-17,394,4.1,37,3.1,0
07-12-17,390,4.4,36,2.7,0
07-12-17,430,4,35,3.1,0
07-12-17,471,3.2,38,2.9,0
07-12-17,552,2.1,50,2,0
07-12-17,795,0.7,46,2.7,0
07-12-17,507,-0.4,47,2.5,0
07-12-17,390,-1.4,47,2.5,0
07-12-17,402,-2.2,46,2.2,0
07-12-17,389,-2.7,48,2.6,0
07-12-17,259,-3.2,50,2.1,0
08-12-17,233,-3.5,49,2.6,0
08-12-17,230,-3.7,50,2.5,0
08-12-17,131,-4.3,53,1,0
08-12-17,99,-4.8,52,1.6,0
08-12-17,71,-5.3,53,2.4,0
08-12-17,84,-5.8,56,2,0
08-12-17,158,-6,56,3.5,0
08-12-17,387,-6.5,57,0.8,0
08-12-17,780,-7,59,0.8,0
08-12-17,395,-6.7,50,0.9,0
08-12-17,261,-5.3,44,2.8,0
08-12-17,310,-3.7,39,1.4,0
08-12-17,355,-2,30,1.4,0
08-12-17,354,-1.7,28,1.8,0
08-12-17,350,-1.3,27,3.1,0
08-12-17,362,-0.8,26,3.3,0
08-12-17,401,-1.1,24,3.4,0
08-12-17,500,-2.4,30,2.7,0
08-12-17,752,-3.1,33,1.2,0
08-12-17,477,-3.3,35,1.1,0
08-12-17,384,-3.3,34,1.5,0
08-12-17,336,-3.3,35,0.5,0
08-12-17,347,-3.4,39,1.2,0
08-12-17,275,-3.5,43,0.9,0
09-12-17,267,-3.5,48,0.9,0
09-12-17,296,-4.1,49,0.6,0
09-12-17,237,-4.7,50,0.7,0
09-12-17,169,-4.3,47,0.6,0
09-12-17,96,-4.3,49,0.7,0
09-12-17,56,-4.7,49,0.8,0
09-12-17,76,-5.1,53,0.9,0
09-12-17,127,-5.5,56,0.8,0
09-12-17,222,-5.4,56,0.7,0
09-12-17,291,-4.7,48,1,0
09-12-17,273,-2.2,42,1.3,0
09-12-17,351,0,45,1.1,0
09-12-17,427,2.4,40,0.8,0
09-12-17,431,3.9,36,2,0
09-12-17,486,4.7,32,2.2,0
09-12-17,569,5.2,30,2,0
09-12-17,546,4.4,33,1.6,0
09-12-17,481,3.5,37,1.8,0
09-12-17,384,2.5,41,1,0
09-12-17,275,1.5,48,0.4,0
09-12-17,298,0.8,51,1.4,0
09-12-17,321,-0.1,55,0.7,0
09-12-17,289,-0.5,55,0.6,0
09-12-17,265,-0.1,54,1.3,0
10-12-17,326,-0.2,55,1,0
10-12-17,280,-0.2,54,0.5,0
10-12-17,243,0.2,52,0.7,0
10-12-17,169,0.3,53,0.5,0
10-12-17,71,0.4,52,1.6,0
